Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Ratio
HolaMundobase;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;110.363 ms;0.7700 ms;0.7202 ms;1.00
HolaMundoRefactorizado;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;158.024 ms;1.2065 ms;1.1285 ms;1.43
PruebaPerformRNCliente;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5.795 ms;0.1122 ms;0.1200 ms;0.05
InsertarClienteNaturalAsiync;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5.594 ms;0.1069 ms;0.1982 ms;0.05
