Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev
Primo;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;0.6767 ns;0.0529 ns;0.0495 ns
PrimoAsync;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"35,964.2031 ns";717.3760 ns;932.7915 ns
PrimoMultinucleo;DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;LegacyJit;Default;X86;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;6.3583 ns;0.0895 ns;0.0747 ns
