// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\5e2ca1c1-4cf9-4a7f-a941-b4c5ccf2dacd.bat
// ***** Done, took 00:00:05 (5.66 sec)   *****
// Found 1 benchmarks:
//   RNEntero.Primo: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Alto rendimiento)
// **************************
// Benchmark: RNEntero.Primo: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\5e2ca1c1-4cf9-4a7f-a941-b4c5ccf2dacd.exe --anonymousPipes 1548 1500 --benchmarkName Proyecto1.consulaEvaluacionRendimiento.RNEntero.Primo --job Default --benchmarkId 0 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET Framework 4.8.1 (4.8.9282.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

WorkloadActual   7: 268435456 op, 1336774400.00 ns, 4.9799 ns/op
WorkloadActual   8: 268435456 op, 1358924400.00 ns, 5.0624 ns/op
WorkloadActual   9: 268435456 op, 1373506200.00 ns, 5.1167 ns/op
WorkloadActual  10: 268435456 op, 1148559800.00 ns, 4.2787 ns/op
WorkloadActual  11: 268435456 op, 1055924500.00 ns, 3.9336 ns/op
WorkloadActual  12: 268435456 op, 1051024000.00 ns, 3.9154 ns/op
WorkloadActual  13: 268435456 op, 1052600800.00 ns, 3.9212 ns/op
WorkloadActual  14: 268435456 op, 862422700.00 ns, 3.2128 ns/op
WorkloadActual  15: 268435456 op, 835057900.00 ns, 3.1108 ns/op
WorkloadActual  16: 268435456 op, 810370400.00 ns, 3.0189 ns/op
WorkloadActual  17: 268435456 op, 779042800.00 ns, 2.9022 ns/op
WorkloadActual  18: 268435456 op, 786753500.00 ns, 2.9309 ns/op
WorkloadActual  19: 268435456 op, 795429400.00 ns, 2.9632 ns/op
WorkloadActual  20: 268435456 op, 829954200.00 ns, 3.0918 ns/op
WorkloadActual  21: 268435456 op, 821945500.00 ns, 3.0620 ns/op
WorkloadActual  22: 268435456 op, 808406800.00 ns, 3.0116 ns/op
WorkloadActual  23: 268435456 op, 788325500.00 ns, 2.9367 ns/op
WorkloadActual  24: 268435456 op, 826388600.00 ns, 3.0785 ns/op
WorkloadActual  25: 268435456 op, 781424700.00 ns, 2.9110 ns/op
WorkloadActual  26: 268435456 op, 848553000.00 ns, 3.1611 ns/op
WorkloadActual  27: 268435456 op, 875082500.00 ns, 3.2599 ns/op
WorkloadActual  28: 268435456 op, 836307600.00 ns, 3.1155 ns/op
WorkloadActual  29: 268435456 op, 783710900.00 ns, 2.9196 ns/op
WorkloadActual  30: 268435456 op, 789750000.00 ns, 2.9420 ns/op
WorkloadActual  31: 268435456 op, 804027300.00 ns, 2.9952 ns/op
WorkloadActual  32: 268435456 op, 783014100.00 ns, 2.9170 ns/op
WorkloadActual  33: 268435456 op, 790357100.00 ns, 2.9443 ns/op
WorkloadActual  34: 268435456 op, 814039700.00 ns, 3.0325 ns/op
WorkloadActual  35: 268435456 op, 813936300.00 ns, 3.0321 ns/op
WorkloadActual  36: 268435456 op, 800010400.00 ns, 2.9803 ns/op
WorkloadActual  37: 268435456 op, 796679800.00 ns, 2.9679 ns/op
WorkloadActual  38: 268435456 op, 781676100.00 ns, 2.9120 ns/op
WorkloadActual  39: 268435456 op, 785428300.00 ns, 2.9259 ns/op
WorkloadActual  40: 268435456 op, 788586300.00 ns, 2.9377 ns/op
WorkloadActual  41: 268435456 op, 797005900.00 ns, 2.9691 ns/op
WorkloadActual  42: 268435456 op, 1019456500.00 ns, 3.7978 ns/op
WorkloadActual  43: 268435456 op, 1056907700.00 ns, 3.9373 ns/op
WorkloadActual  44: 268435456 op, 1068346600.00 ns, 3.9799 ns/op
