// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\b163eede-1154-4373-9167-803cb81ad87b.bat
// ***** Done, took 00:00:05 (5.95 sec)   *****
// Found 3 benchmarks:
//   RNEntero.Primo: DefaultJob
//   RNEntero.PrimoAsync: DefaultJob
//   RNEntero.PrimoMultinucleo: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Alto rendimiento)
// **************************
// Benchmark: RNEntero.Primo: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\b163eede-1154-4373-9167-803cb81ad87b.exe --anonymousPipes 1580 1576 --benchmarkName Proyecto1.consulaEvaluacionRendimiento.RNEntero.Primo --job Default --benchmarkId 0 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET Framework 4.8.1 (4.8.9282.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

WorkloadActual   8: 268435456 op, 771814200.00 ns, 2.8752 ns/op
WorkloadActual   9: 268435456 op, 762870500.00 ns, 2.8419 ns/op
WorkloadActual  10: 268435456 op, 770984500.00 ns, 2.8721 ns/op
WorkloadActual  11: 268435456 op, 756586600.00 ns, 2.8185 ns/op
WorkloadActual  12: 268435456 op, 771734600.00 ns, 2.8749 ns/op
WorkloadActual  13: 268435456 op, 771596600.00 ns, 2.8744 ns/op
WorkloadActual  14: 268435456 op, 789525000.00 ns, 2.9412 ns/op
WorkloadActual  15: 268435456 op, 771068900.00 ns, 2.8725 ns/op

// AfterActualRun
WorkloadResult   1: 268435456 op, 204524500.00 ns, 0.7619 ns/op
WorkloadResult   2: 268435456 op, 189196500.00 ns, 0.7048 ns/op
WorkloadResult   3: 268435456 op, 191608500.00 ns, 0.7138 ns/op
WorkloadResult   4: 268435456 op, 194142000.00 ns, 0.7232 ns/op
WorkloadResult   5: 268435456 op, 168326300.00 ns, 0.6271 ns/op
WorkloadResult   6: 268435456 op, 182027200.00 ns, 0.6781 ns/op
WorkloadResult   7: 268435456 op, 193925200.00 ns, 0.7224 ns/op
WorkloadResult   8: 268435456 op, 174799500.00 ns, 0.6512 ns/op
WorkloadResult   9: 268435456 op, 165855800.00 ns, 0.6179 ns/op
WorkloadResult  10: 268435456 op, 173969800.00 ns, 0.6481 ns/op
WorkloadResult  11: 268435456 op, 159571900.00 ns, 0.5945 ns/op
WorkloadResult  12: 268435456 op, 174719900.00 ns, 0.6509 ns/op
WorkloadResult  13: 268435456 op, 174581900.00 ns, 0.6504 ns/op
WorkloadResult  14: 268435456 op, 192510300.00 ns, 0.7172 ns/op
WorkloadResult  15: 268435456 op, 174054200.00 ns, 0.6484 ns/op

// AfterAll
// Benchmark Process 4768 has exited with code 0.

Mean = 0.674 ns, StdErr = 0.012 ns (1.82%), N = 15, StdDev = 0.047 ns
Min = 0.594 ns, Q1 = 0.648 ns, Median = 0.651 ns, Q3 = 0.715 ns, Max = 0.762 ns
IQR = 0.067 ns, LowerFence = 0.547 ns, UpperFence = 0.816 ns
