// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\6f995bf8-6cfc-48a2-b160-2e43d3794abc.bat
// ***** Done, took 00:00:05 (5.85 sec)   *****
// Found 2 benchmarks:
//   RNEntero.Primo: DefaultJob
//   RNEntero.PrimoAsync: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Alto rendimiento)
// **************************
// Benchmark: RNEntero.Primo: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\Tarea4\Proyecto1.consulaEvaluacionRendimiento\Proyecto1.consulaEvaluacionRendimiento\bin\Release\6f995bf8-6cfc-48a2-b160-2e43d3794abc.exe --anonymousPipes 1552 1548 --benchmarkName Proyecto1.consulaEvaluacionRendimiento.RNEntero.Primo --job Default --benchmarkId 0 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET Framework 4.8.1 (4.8.9282.0), X86 LegacyJIT
// GC=Concurrent Workstation
// HardwareIntrinsics= 
// Job: DefaultJob

WorkloadActual   4: 268435456 op, 1624016200.00 ns, 6.0499 ns/op
WorkloadActual   5: 268435456 op, 1756077000.00 ns, 6.5419 ns/op
WorkloadActual   6: 268435456 op, 1754932600.00 ns, 6.5376 ns/op
WorkloadActual   7: 268435456 op, 1653393900.00 ns, 6.1594 ns/op
WorkloadActual   8: 268435456 op, 1384726600.00 ns, 5.1585 ns/op
WorkloadActual   9: 268435456 op, 1389810800.00 ns, 5.1774 ns/op
WorkloadActual  10: 268435456 op, 1349295100.00 ns, 5.0265 ns/op
WorkloadActual  11: 268435456 op, 1056513900.00 ns, 3.9358 ns/op
WorkloadActual  12: 268435456 op, 1063797300.00 ns, 3.9630 ns/op
WorkloadActual  13: 268435456 op, 1055712800.00 ns, 3.9328 ns/op
WorkloadActual  14: 268435456 op, 1065136500.00 ns, 3.9679 ns/op
WorkloadActual  15: 268435456 op, 816524100.00 ns, 3.0418 ns/op
WorkloadActual  16: 268435456 op, 774053100.00 ns, 2.8836 ns/op
WorkloadActual  17: 268435456 op, 802612800.00 ns, 2.9900 ns/op
WorkloadActual  18: 268435456 op, 813754200.00 ns, 3.0315 ns/op
WorkloadActual  19: 268435456 op, 804219600.00 ns, 2.9960 ns/op
WorkloadActual  20: 268435456 op, 787016300.00 ns, 2.9319 ns/op
WorkloadActual  21: 268435456 op, 808567100.00 ns, 3.0121 ns/op
WorkloadActual  22: 268435456 op, 799862200.00 ns, 2.9797 ns/op
WorkloadActual  23: 268435456 op, 857431500.00 ns, 3.1942 ns/op
WorkloadActual  24: 268435456 op, 833665000.00 ns, 3.1056 ns/op
WorkloadActual  25: 268435456 op, 798959900.00 ns, 2.9764 ns/op
WorkloadActual  26: 268435456 op, 813762100.00 ns, 3.0315 ns/op
WorkloadActual  27: 268435456 op, 772764200.00 ns, 2.8788 ns/op
WorkloadActual  28: 268435456 op, 815441100.00 ns, 3.0378 ns/op
WorkloadActual  29: 268435456 op, 840886500.00 ns, 3.1325 ns/op
WorkloadActual  30: 268435456 op, 810259900.00 ns, 3.0185 ns/op
WorkloadActual  31: 268435456 op, 835727800.00 ns, 3.1133 ns/op
WorkloadActual  32: 268435456 op, 816406900.00 ns, 3.0414 ns/op
WorkloadActual  33: 268435456 op, 796096800.00 ns, 2.9657 ns/op
WorkloadActual  34: 268435456 op, 856530700.00 ns, 3.1908 ns/op
WorkloadActual  35: 268435456 op, 831587800.00 ns, 3.0979 ns/op
WorkloadActual  36: 268435456 op, 838019000.00 ns, 3.1219 ns/op
WorkloadActual  37: 268435456 op, 775305100.00 ns, 2.8882 ns/op
WorkloadActual  38: 268435456 op, 825944700.00 ns, 3.0769 ns/op
WorkloadActual  39: 268435456 op, 806124800.00 ns, 3.0030 ns/op
WorkloadActual  40: 268435456 op, 1000054000.00 ns, 3.7255 ns/op
WorkloadActual  41: 268435456 op, 1049002200.00 ns, 3.9078 ns/op
WorkloadActual  42: 268435456 op, 1062992200.00 ns, 3.9600 ns/op
WorkloadActual  43: 268435456 op, 1065893200.00 ns, 3.9708 ns/op
WorkloadActual  44: 268435456 op, 1295233400.00 ns, 4.8251 ns/op
WorkloadActual  45: 268435456 op, 1347377300.00 ns, 5.0194 ns/op
WorkloadActual  46: 268435456 op, 1371855000.00 ns, 5.1106 ns/op
WorkloadActual  47: 268435456 op, 1347603300.00 ns, 5.0202 ns/op
WorkloadActual  48: 268435456 op, 1354420300.00 ns, 5.0456 ns/op
WorkloadActual  49: 268435456 op, 1355009200.00 ns, 5.0478 ns/op
WorkloadActual  50: 268435456 op, 1352279200.00 ns, 5.0376 ns/op
WorkloadActual  51: 268435456 op, 1357693200.00 ns, 5.0578 ns/op
WorkloadActual  52: 268435456 op, 1100184800.00 ns, 4.0985 ns/op
WorkloadActual  53: 268435456 op, 1054112000.00 ns, 3.9269 ns/op
WorkloadActual  54: 268435456 op, 1059850800.00 ns, 3.9483 ns/op
WorkloadActual  55: 268435456 op, 1088536000.00 ns, 4.0551 ns/op
WorkloadActual  56: 268435456 op, 813533100.00 ns, 3.0306 ns/op
WorkloadActual  57: 268435456 op, 829804400.00 ns, 3.0913 ns/op
WorkloadActual  58: 268435456 op, 803898900.00 ns, 2.9948 ns/op
WorkloadActual  59: 268435456 op, 762400300.00 ns, 2.8402 ns/op
WorkloadActual  60: 268435456 op, 761681700.00 ns, 2.8375 ns/op
WorkloadActual  61: 268435456 op, 765363900.00 ns, 2.8512 ns/op
WorkloadActual  62: 268435456 op, 856706900.00 ns, 3.1915 ns/op
WorkloadActual  63: 268435456 op, 798421200.00 ns, 2.9744 ns/op
WorkloadActual  64: 268435456 op, 842854300.00 ns, 3.1399 ns/op
